date,close,open
1981,1197,47310
1982,404,60925
1983,787,79134
1984,1434,130205
1985,3864,141388
1986,7440,118045
1987,8676,166150
1988,8593,184537
1989,10296,209138
1990,7218,199476
1991,19384,189253
1992,22524,181344
1993,32995,254696
1994,46824,390509
1995,47832,414387
1996,59688,553817
1997,85002,640257
1998,88286,601693
1999,72892,691175
2000,93652,804276
2001,350312,753155
2002,214404,777432
2003,176499,942146
2004,183983,1106864
2005,449594,1189299
2006,666555,1262063
2007,918154,1311868
2008,665444,1358996
2009,1052038,1309822
2010,1238629,1465747
2011,1669863,1514878
2012,1664471,1645325
2013,1948598,1782452
2014,891771,1965707
2015,1294288,2604573
2016,1220349,2480728
2017,1847555,2576337
2018,2068881,2387126
2019,1009438,2371390
2020,229840,1401016
