region,key,value
Africa,EGYPT,1177
Africa,MAURITIUS,2198
Africa,MOROCCO,1580
Africa,SOUTH AFRICA,53989
Africa,TUNISIA,1035
Asia,CHINA,126743
Asia,INDIA,1320135
Asia,India,45201
Asia,INDONESIA,378957
Asia,JAPAN,917600
Asia,KAZAKHSTAN,1400
Asia,MALAYSIA,127286
Asia,NEPAL,1438
Asia,PHILIPPINES,164400
Asia,SAUDI ARABIA,1201
Asia,Singapore,2628
Asia,SINGAPORE,94147
Asia,SRI LANKA,1230
Asia,Thailand,4634
Asia,THAILAND,125062
Asia,TURKEY,1848
Europe,ANDORRA,2687
Europe,AUSTRIA,107625
Europe,Austria,4380
Europe,BELGIUM,53043
Europe,CYPRUS,5746
Europe,DENMARK,28381
Europe,ESTONIA,2122
Europe,FINLAND,65730
Europe,FRANCE,561140
Europe,France,57997
Europe,Germany,36601
Europe,GERMANY,517376
Europe,GREECE,28642
Europe,HUNGARY,13914
Europe,ICELAND,3451
Europe,IRELAND,10352
Europe,ITALY,2092034
Europe,Italy,23540
Europe,LATVIA,6346
Europe,LITHUANIA,1011
Europe,LUXEMBOURG,6407
Europe,MALTA,5854
Europe,Netherlands,7444
Europe,NETHERLANDS,51472
Europe,NORWAY,29506
Europe,POLAND,134977
Europe,PORTUGAL,4430
Europe,ROMANIA,2907
Europe,SAN MARINO,2456
Europe,SLOVAKIA,32566
Europe,Spain,270861
Europe,SPAIN,971420
Europe,SWEDEN,125574
Europe,Sweden,26593
Europe,SWITZERLAND,9365
Europe,UKRAINE,2975
Europe,United Kingdom,63813
Europe,UNITED KINGDOM,410574
Americas,ANTIGUA AND BARBUDA,1279
Americas,BAHAMAS,1895
Americas,BARBADOS,2238
Americas,CANADA,6317
Americas,Canada,1825554
Americas,COSTA RICA,1037
Americas,JAMAICA,5616
Americas,MEXICO,529971
Americas,Mexico,40857
Americas,PANAMA,11702
Americas,SAINT LUCIA,1433
Americas,TRINIDAD AND TOBAGO,1331
Oceania,Australia,85210
Oceania,AUSTRALIA,943811
Oceania,FIJI,1072
Oceania,NEW ZEALAND,92960
Oceania,New Zealand,8055
Americas,ARGENTINA,632790
Americas,BOLIVIA,1863
Americas,BRAZIL,9804
Americas,CHILE,1021
Americas,COLOMBIA,99380
Americas,PARAGUAY,2475
Asia,MACAO,2728
Asia,TAIWAN,224035
Europe,NETHERLANDS,102664
Americas,BOLIVIA(PLURINATIONAL STATEOF),1344
Europe,NETHERLANDS ANTILLES,8906
Oceania,NEW CALEDONIA,1819
Asia,HONG KONG,113088
Americas,SINT MAARTEN (DUTCH PART),2126
Europe,RUSSIAN FEDERATION,53689
Oceania,BERMUDA,1963
Asia,UNITED ARAB EMIRATES,1925
Americas,ARUBA,7471
Europe,UNITED KINGDOM OF GB AND NI,1380107
Europe,FRENCH POLYNESIA,1241
Asia,PHILIPPINES (THE),1546
Americas,UNITED STATES,1642
Asia,KOREA, REPUBLIC OF,2110
Europe,CZECH REPUBLIC,16528
Americas,CURACAO,2255
Americas,USA,6459332
